Year,"Total_LA_Intake_g_per_capita_day","LA_Intake_percent_calories",Plant_Fat_Ratio,Total_Calorie_Supply,Total_Fat_Supply_g,Total_Carb_Supply_g,Total_Protein_Supply_g,Population,"Diabetes_Prevalence_Rate_AgeStandardised","Diabetes_Treatment_Rate_AgeStandardised","Obesity_Prevalence_AgeStandardised",BMI_AgeStandardised,"Total_Cholesterol_AgeStandardised","NonHDL_Cholesterol_AgeStandardised","Dementia_Prevalence_Number","Dementia_Mortality_Rate_ASMR",CVD_Mortality_Rate_ASMR,LA_perc_kcal_lag5,LA_perc_kcal_lag10,LA_perc_kcal_lag15,LA_perc_kcal_lag20
1977,107.7121,32.733049473925895,0.4085593220338983,2961.56,118.0,385.19,89.7,,,,,,,,,,,32.370547384341414,29.849955839632248,29.57612446241552,
1978,108.25495,33.29646596858639,0.4128293627409716,2926.12,118.79,373.6124999999999,90.64,,,,,,,,,,,32.85085484307078,29.63302330010793,29.439851068811674,
1979,110.378,33.99151411462789,0.4650263331138906,2922.5,121.52,373.265,83.94,,,,,,,,,,,31.657007988637133,30.069303448637868,29.89725568002682,
1980,115.1239,34.540163480835,0.4934152765583844,2999.74,125.29,385.9625,82.07000000000001,,,,,,5.61099476700229,4.22383717819571,,,,32.335040525000174,31.02977115399721,30.03419021849857,
1981,114.7885,34.56594184229633,0.4738156622623269,2988.77,124.12,385.6325000000001,82.28999999999999,,,,,,5.607661234967985,4.22686347624861,,,,31.529937700121742,30.721477944722437,29.680107573917695,29.83730068254547
1982,119.43635,35.58465915862234,0.4658993031086054,3020.76,127.71,383.1625,84.68,,,,,,5.60398306740546,4.229407882947465,,,,32.733049473925895,32.370547384341414,29.849955839632248,29.57612446241552
1983,115.51735,35.30805086040896,0.4811927342870921,2944.53,124.42,375.05750000000006,81.13,,,,,,5.5996702536905705,4.231110340692075,,,,33.29646596858639,32.85085484307078,29.63302330010793,29.439851068811674
1984,113.1818,34.28031728190234,0.4548971193415637,2971.49,121.5,385.18750000000006,84.31,,,,,,5.594600781681415,4.231873241643795,,,,33.99151411462789,31.657007988637133,30.069303448637868,29.89725568002682
1985,124.0272,36.43798250968692,0.4923391990291261,3063.41,131.84,383.4725,85.74000000000001,,,,,,5.58838851865053,4.23117527614144,,,,34.540163480835,32.335040525000174,31.02977115399721,30.03419021849857
1986,125.93485,37.36779003867292,0.4976408139191979,3033.13,135.64,368.3325,84.76,,,,,,5.580634049568985,4.22845203182412,,,,34.56594184229633,31.529937700121742,30.721477944722437,29.680107573917695
1987,126.0731,36.791283511238504,0.5193809456197642,3084.04,140.86,367.4749999999999,86.6,,,,,,5.57097200855521,4.223166432930015,,,,35.58465915862234,32.733049473925895,32.370547384341414,29.849955839632248
1988,120.8722,35.39633753505957,0.5183886662850602,3073.34,139.76,368.00500000000005,85.87,,,,,,5.55877910894422,4.21452517639106,,,,35.30805086040896,33.29646596858639,32.85085484307078,29.63302330010793
1989,123.382,35.87601487459655,0.5453230472516876,3095.21,145.18,362.49749999999995,84.65,,,,,,5.54350325808641,4.201772617654395,,,,34.28031728190234,33.99151411462789,31.657007988637133,30.069303448637868
1990,124.72105,35.429879742440505,0.5403959336543607,3168.2,149.51999999999998,367.79,87.84,,3.5331126246602396,45.30125327166465,13.142346624770656,,5.5248000524773495,4.1845012078428905,,,,36.43798250968692,34.540163480835,32.335040525000174,31.02977115399721
1991,133.3795,37.98122162281882,0.5875988078268757,3160.55,154.34,357.9725000000001,84.9,,3.63599229499968,45.791283994611895,13.797963295083171,,5.503196121832575,4.16335553028283,,,,37.36779003867292,34.56594184229633,31.529937700121742,30.721477944722437
1992,139.1131,39.22103808959937,0.6008957452102515,3192.21,160.76,353.49250000000006,82.85,,3.7353095167652257,46.3117947913553,14.468479788934191,,5.47921743317498,4.138971217408985,,,,36.791283511238504,35.58465915862234,32.733049473925895,32.370547384341414
1993,135.85825,39.41716016389375,0.6020982114643243,3102.01,158.23,338.06500000000005,81.42,,3.8298623562294503,46.86063147556505,15.15262731560623,,5.45315788977683,4.111693681924695,,,,35.39633753505957,35.30805086040896,33.29646596858639,32.85085484307078
1994,131.41695,38.403051781910754,0.5802251014265148,3079.84,152.82,342.7950000000001,83.32,,3.9185444077941503,47.436762378693295,15.84823211803893,,5.42540686272051,4.08204216316084,,,,35.87601487459655,34.28031728190234,33.99151411462789,31.657007988637133
1995,129.20295,37.12503232562519,0.5831456207764676,3132.19,150.94,357.3325,86.1,,4.001825393688894,48.0449544691191,16.54967430818098,,5.39640184246014,4.050536714701155,,,,35.429879742440505,36.43798250968692,34.540163480835,32.335040525000174
1996,128.2365,37.10976386155805,0.5894533590785006,3110.04,150.19,355.6825,83.9,,4.079078433612125,48.688776080755304,17.25572004587305,,5.36622163412995,4.017311254810615,,,,37.98122162281882,37.36779003867292,34.56594184229633,31.529937700121742
1997,135.3809,38.38076532958691,0.6093819901578577,3174.58,156.47,358.74749999999995,82.84,,4.1527974564212355,49.367427209187746,17.96169586633356,,5.3351599303939405,3.98277502651525,,,,39.22103808959937,36.791283511238504,35.58465915862234,32.733049473925895
1998,134.34355,38.762264967540276,0.6013387397824548,3119.25,155.37,348.26,81.97,,4.226029947114846,50.0756472452217,18.66227419703568,,5.303170937445085,3.94685745976545,,,,39.41716016389375,35.39633753505957,35.30805086040896,33.29646596858639
1999,139.2623,39.683029226546104,0.618118087870913,3158.43,165.47,335.64,81.66,,4.302119034048735,50.8187013738319,19.356504064000916,,5.270344803305965,3.909720983880165,,,,38.403051781910754,35.87601487459655,34.28031728190234,33.99151411462789
2000,135.1369,38.839014903543706,0.6063359528487231,3131.4700000000003,162.88,334.1575,82.23,,4.38552007856342,51.592181620235245,20.043887621808747,,5.23673810009768,3.87140114247455,,,,37.12503232562519,35.429879742440505,36.43798250968692,34.540163480835
2001,144.30445,40.147640892636886,0.6238478590596197,3234.91,171.42,340.9425,82.09,,4.47810561688778,52.3929638169526,20.71868229762419,,5.202455686612195,3.832076341223795,,,,37.10976386155805,37.98122162281882,37.36779003867292,34.56594184229633
2002,139.2972,38.855926135993826,0.6097873118410628,3226.47,164.09,351.86499999999995,85.55,,4.579546699106076,53.21218669108665,21.372025527230456,,5.16816676820861,3.79264648807898,,,,38.38076532958691,39.22103808959937,36.791283511238504,35.58465915862234
2003,139.3226,38.51480507672838,0.5803626117848829,3255.64,163.26,354.78499999999997,91.79,,4.68987192384654,54.032874085284455,22.001353981957728,,5.133954954324345,3.75320368044417,,,,38.762264967540276,39.41716016389375,35.39633753505957,35.30805086040896
2004,153.94415,41.83669164895159,0.6628683693516698,3311.68,178.15,342.62249999999995,84.46000000000001,,4.810610085829755,54.827979200300646,22.60211770091532,,5.099885983917925,3.71389921200054,,,,39.683029226546104,38.403051781910754,35.87601487459655,34.28031728190234
